"","Country","Hotels","Date"
"397","Mexico","11614","2017-FEB-28"
"398","Japan","11430","2017-FEB-28"
"399","Panama","924","2017-FEB-28"
"400","Martinique","271","2017-FEB-28"
"401","Saint Martin","289","2017-FEB-28"
"402","Ireland","4400","2017-FEB-28"
"403","U.S. Virgin Islands (US Virgin Is) hotels","202","2017-FEB-28"
"404","Belize","450","2017-FEB-28"
"405","Saint Lucia","161","2017-FEB-28"
"406","Israel","3017","2017-FEB-28"
"407","Guyana","25","2017-FEB-28"
"408","Ghana","703","2017-FEB-28"
"409","Germany","45078","2017-FEB-28"
"410","India","25136","2017-FEB-28"
"411","South Korea","4559","2017-FEB-28"
"412","Malta","1078","2017-FEB-28"
"413","Trinidad and Tobago (Trinidad Tbgo) hotels","136","2017-FEB-28"
"414","Denmark","23259","2017-FEB-28"
"415","New Zealand","5007","2017-FEB-28"
"416","Monaco","29","2017-FEB-28"
"417","Nigeria","804","2017-FEB-28"
"418","Greenland","23","2017-FEB-28"
"419","Peru","4580","2017-FEB-28"
"420","Philippines","3437","2017-FEB-28"
"421","Dominica","111","2017-FEB-28"
"422","Turkey","14968","2017-FEB-28"
"423","Seychelles","451","2017-FEB-28"
"424","France","72210","2017-FEB-28"
"425","Colombia","7193","2017-FEB-28"
"426","Guatemala","660","2017-FEB-28"
"427","Mauritius","1004","2017-FEB-28"
"428","Australia","16156","2017-FEB-28"
"429","Armenia","1290","2017-FEB-28"
"430","Belgium","7197","2017-FEB-28"
"431","Curaçao","375","2017-FEB-28"
"432","Sweden","6880","2017-FEB-28"
"433","Croatia","65034","2017-FEB-28"
"434","Austria","24149","2017-FEB-28"
"435","Argentina","11089","2017-FEB-28"
"436","Solomon Islands (Solomon Is) hotels","22","2017-FEB-28"
"437","Samoa","67","2017-FEB-28"
"438","Oman","305","2017-FEB-28"
"439","Fiji","214","2017-FEB-28"
"440","Tonga","59","2017-FEB-28"
"441","Qatar","125","2017-FEB-28"
"442","Gambia","99","2017-FEB-28"
"443","Ethiopia","354","2017-FEB-28"
"444","Malaysia","5806","2017-FEB-28"
"445","Greece","25350","2017-FEB-28"
"446","Chile","8336","2017-FEB-28"
"447","Portugal","19257","2017-FEB-28"
"448","Bahrain","155","2017-FEB-28"
"449","Anguilla","54","2017-FEB-28"
"450","Sri Lanka","7540","2017-FEB-28"
"451","Tunisia","640","2017-FEB-28"
"452","Liechtenstein","37","2017-FEB-28"
"453","United Arab Emirates (U.A. Emirates) hotels","1573","2017-FEB-28"
"454","Tanzania","1304","2017-FEB-28"
"455","Taiwan","4972","2017-FEB-28"
"456","Spain","62637","2017-FEB-28"
"457","Egypt","1464","2017-FEB-28"
"458","Macau","67","2017-FEB-28"
"459","China","46039","2017-FEB-28"
"460","Kuwait","129","2017-FEB-28"
"461","Morocco","4754","2017-FEB-28"
"462","Ecuador","2262","2017-FEB-28"
"463","Cyprus","3532","2017-FEB-28"
"464","Thailand","18125","2017-FEB-28"
"465","Norway","4216","2017-FEB-28"
"466","New Caledonia","42","2017-FEB-28"
"467","Kenya","1749","2017-FEB-28"
"468","Iraq","91","2017-FEB-28"
"469","St. Maarten","176","2017-FEB-28"
"470","Netherlands","10649","2017-FEB-28"
"471","Cape Verde","411","2017-FEB-28"
"472","Finland","2633","2017-FEB-28"
"473","Uruguay","1857","2017-FEB-28"
"474","Ukraine","6322","2017-FEB-28"
"475","Saudi Arabia","2071","2017-FEB-28"
"476","Cook Islands","168","2017-FEB-28"
"477","Switzerland","10855","2017-FEB-28"
"478","Slovenia","3244","2017-FEB-28"
"479","Nicaragua","746","2017-FEB-28"
"480","Bolivia","559","2017-FEB-28"
"481","Suriname","105","2017-FEB-28"
"482","Senegal","414","2017-FEB-28"
"483","Poland","22097","2017-FEB-28"
"484","French Polynesia (Fr Polynesia) hotels","263","2017-FEB-28"
"485","Montenegro","4972","2017-FEB-28"
"486","Pakistan","280","2017-FEB-28"
